variant,date,decision_hour,risk_mode,horizon_slots,simultaneous_flow_slots,simultaneous_flow_max_kwh,max_eq_residual_kwh,solver_status
q2_fixed_clustered,2025-05-31,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-01,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-06-02,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-06-03,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-06-04,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-05,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-06,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-07,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-08,0,clustered,144,0,0.0,1.1368683772161603e-13,optimal
q2_fixed_clustered,2025-06-09,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-10,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-06-11,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-12,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-13,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-14,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-15,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-16,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-06-17,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-18,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-06-19,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-20,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-06-21,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-22,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-23,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-24,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-06-25,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-26,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-27,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-28,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-29,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-06-30,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-01,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-02,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-03,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-04,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-05,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-06,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-07,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-08,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-09,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-10,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-07-11,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-12,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-13,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-14,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-15,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-07-16,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-17,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-18,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-19,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-07-20,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-21,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-07-22,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-23,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-07-24,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-25,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-26,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-07-27,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-28,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-07-29,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-07-30,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-07-31,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-08-01,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-02,0,clustered,144,0,0.0,4.547473508864641e-13,optimal
q2_fixed_clustered,2025-08-03,0,clustered,144,0,0.0,9.094947017729282e-13,optimal
q2_fixed_clustered,2025-08-04,0,clustered,144,0,0.0,1.8189894035458565e-12,optimal
q2_fixed_clustered,2025-08-05,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
q2_fixed_clustered,2025-08-06,0,clustered,144,0,0.0,2.2737367544323206e-13,optimal
