release_set,allowed_issue_hours,month,days,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,plan_kwh,final_contract_kwh,actual_effective_grid_kwh,emergency_kwh,emergency_days,emergency_slots,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,safe_net_coverage,pinball_mean_kw,soc_end_kwh,max_balance_residual_kwh,saving_vs_S_none_yuan,emergency_reduction_vs_S_none_kwh
S_12,12,6,30,1533533.942208556,1430212.4001330836,103321.54207547243,2280742.189091629,2204582.506910699,1976737.8337780882,16776.165733227605,21,212,244620.83886583775,123701.77239310081,542331.0273771287,439288.1321754742,0.6127314814814815,202.3178662641895,10800.0,3.410605131648481e-13,42317.84485604777,2931.9702494495887
S_12,12,7,31,1686624.756811055,1594111.4401980322,92513.31661302269,2424020.9331008,2404609.016278889,2193089.3534446466,15643.290629160496,20,191,227162.9534634036,143428.8200500144,551796.1783050802,446954.904427115,0.6151433691756273,204.50194377232887,10800.0,3.410605131648481e-13,22145.45942339392,2671.3042481293805
S_12,12,8,31,1602481.7125286798,1602464.4614426235,17.25108605598239,2550493.2701735096,2418726.089962585,1965320.0202201381,2.5608381289961244,1,1,453408.63058057555,292528.87337561016,466727.80304137606,378049.52046351467,0.9531810035842294,210.49046648494263,10800.0,3.552713678800501e-13,14456.419871973063,0.0
S_12,12,9,30,1511875.5812382475,1507625.5652809932,4250.015957254026,2375182.337609546,2297703.4192326637,1715174.5186116656,850.0984160411671,3,8,583378.9990370389,239718.52304582426,458274.35955706093,371202.2312412194,0.9712962962962963,240.4945254803823,10800.0,3.410605131648481e-13,8931.18717544181,0.0
S_12,12,10,31,1383778.5033192595,1356489.287714997,27289.215604262354,2179659.942461229,2112250.31650139,1791098.534184156,5001.495152049554,14,71,326153.2774692839,213753.79232787032,537953.4253839601,435742.27456100774,0.7396953405017921,183.34087290246524,10800.0,2.5224267119483557e-13,23250.654718917343,965.9043661163425
S_12,12,11,30,1553219.9145242285,1438588.2502407022,114631.66428352645,2268962.8917942094,2244247.2108682655,2011931.1854004476,19313.741785755075,21,213,251629.7672535729,115864.59400571302,570747.6484337074,462653.46502230625,0.4895833333333333,186.05760357406922,10413.478009996377,3.410605131648481e-13,21145.774627267325,1148.8253001691419
S_12,12,12,31,1962073.1925900255,1823245.4253514837,138827.76723854136,2798485.6710352213,2777742.307104953,2523052.278004296,25342.382505450983,23,238,280032.4116061078,34384.40966519178,654863.5092657142,530232.5771599424,0.4946236559139785,185.07082773890022,10643.328393647671,3.410605131648481e-13,14074.599401405518,1030.2378176525647
S_18,18,2,28,1492849.3149530727,1491496.8189009998,1352.4960520726345,2428357.6550013516,2329399.98316191,1915163.2913921713,214.26568750889706,6,10,414450.9574572472,108299.18403828645,489391.7646695706,396407.32938235224,0.9045138888888888,180.90357923121186,10800.0,3.410605131648481e-13,15927.306972996732,3053.5413514744882
S_18,18,3,31,1358488.315819257,1354838.3797385518,3649.9360807052135,2222586.3370734225,2162041.7904487513,1823475.4408946298,691.0478676225041,8,30,339257.3974217444,194562.49519820866,539975.1538408123,437379.87461105804,0.8201164874551972,180.32125847054292,10800.0,3.410605131648481e-13,23634.545424808497,4411.978202663574
S_18,18,4,30,1089536.9310501264,1066021.4761889554,23515.454861170976,1706976.5536328955,1716880.4464367903,1535074.8037484335,4103.263881937645,20,61,185908.90657029464,217038.77398621643,528085.6802359663,427779.2494737493,0.6555555555555556,178.92895265450818,10766.835019315067,3.410605131648481e-13,29762.412949740563,4372.142065721615
S_18,18,5,31,1208874.1859270206,1085536.4638195357,123337.72210748524,1739504.2654046023,1752811.9203913757,1552838.981170971,19772.008132250594,20,158,219744.94735265576,268990.85164612357,510567.45302928577,413529.78847110516,0.6292562724014337,211.46973366893064,10800.0,3.410605131648481e-13,5354.023641080821,840.5045920239456
S_18,18,6,30,1551523.287009733,1457610.4000043757,93912.88700535709,2280447.1484703026,2250994.9413050776,1976417.244270884,15319.8217114088,21,201,289897.5187456025,124448.07125872723,536715.8254148618,434739.818586038,0.6386574074074074,218.23176797637947,10800.0,3.410605131648481e-13,24328.500054871132,4388.314271268394
S_18,18,7,31,1689966.9298169923,1601531.7528800971,88435.176936895,2423817.88596179,2444038.729735674,2195772.7894202704,15005.79551653727,19,195,263271.73583194107,145349.66638184362,555809.8080092636,450205.9444875035,0.6332885304659498,215.0623332583193,10800.0,2.8421709430404007e-13,18803.286417456467,3308.7993607526073
S_18,18,8,31,1622275.2888572656,1622258.0377712096,17.25108605598239,2550493.2701735096,2480766.7164701573,1967573.041672156,2.5608381289961244,1,1,513196.2356361297,294996.47957373405,465598.4096408171,377134.7118090618,0.9478046594982079,234.9216666325825,10800.0,3.410605131648481e-13,-5337.1564566131565,0.0
S_18,18,9,30,1524622.8917410441,1520372.8757837897,4250.015957254026,2375182.337609546,2331058.230965475,1718113.7195231663,850.0984160411671,3,8,613794.6098583494,242776.39897100054,457649.75422192644,370696.30091976054,0.9666666666666667,252.76909566745846,10800.0,3.410605131648481e-13,-3816.1233273545877,0.0
S_18,18,10,31,1405395.266121868,1378378.5002738228,27016.765848045194,2179650.8852597736,2148573.7602443066,1796034.326121127,4960.2775324893,14,71,357499.71165566944,219318.27238581545,534644.540536726,433062.0778347481,0.7526881720430108,202.5922070830364,10800.0,3.410605131648481e-13,1633.891916309076,1007.1219856765968
S_18,18,11,30,1567986.218384603,1454020.361793495,113965.85659110808,2268947.8000101936,2262401.086135701,2012668.3720782972,19212.54607530436,21,213,268945.2601327078,117457.96396219045,566220.4516106899,458982.451477916,0.5164351851851852,195.88676993967255,10417.90480749196,3.410605131648481e-13,6379.470766892788,1250.0210106198592
S_18,18,12,31,1968132.2104786728,1832532.6789590297,135599.53151964277,2798398.803117861,2797385.728388448,2522825.982689271,24852.577129376623,23,233,299412.3228285526,34384.40966519178,653681.8153662288,529277.178575482,0.5280017921146953,189.03706475807135,10645.784664340155,2.2737367544323206e-13,8015.581512758254,1520.0431937269223
