variant,month,days,actual_load_kwh,actual_pv_kwh,plan_kwh,final_contract_kwh,actual_effective_grid_kwh,emergency_kwh,unused_contract_kwh,pv_curtailed_kwh,pv_used_kwh,charge_kwh,discharge_kwh,contract_cost_yuan,emergency_cost_yuan,cash_cost_yuan,emergency_days,emergency_slots,safe_net_coverage,pinball_mean_kw,soc_end_kwh
q4_2_variable,4,30,3162943.2953166664,1945213.6963166667,1767926.2074209524,1767926.2074209524,1557098.868449393,6076.889273081331,216904.22824464046,241018.12099860673,1704195.57531806,517637.6234251921,419286.4749744056,995198.1320745979,38425.068931435875,1033623.2010060337,6,20,0.7405092592592593,167.72418551876754,10800.0
q4_2_variable,5,31,3274848.2480000006,2088037.7830333333,1628766.9838027689,1628766.9838027689,1529665.8003536074,59365.58010004826,158466.7635492098,241620.80102542293,1846416.98200791,532813.3387448317,431578.8043833138,937684.5083679247,383368.6866221378,1321053.1949900622,21,225,0.5822132616487455,214.2893936822807,10800.0
q4_2_variable,6,30,3456268.2932,1706275.1270166666,1968143.2767706984,1968143.2767706984,1956670.21437721,181163.7894272696,192636.8518207583,117123.28697228702,1589151.8400443795,471335.58537678723,381781.82415519765,1249322.6285591703,1155486.62736593,2404809.2559251003,21,569,0.48055555555555557,330.7552072828885,10800.0
q4_2_variable,7,31,3970920.4401166663,2026101.1805999998,2596935.4830589932,2596935.4830589932,2217406.2302423483,22922.33338756313,402451.5862042079,165334.86764836012,1860766.3129516395,564484.7530385355,457232.6499612137,1814746.5888339102,165968.2985913548,1980714.8874252653,17,215,0.7202060931899642,214.47155637998486,10800.0
q4_2_variable,8,31,3753611.7254499993,2169498.8611833337,2604704.8936504256,2604704.8936504256,2000336.9333471358,282.1250098002603,604650.0853130909,324877.91600263765,1844620.9451806957,480769.22672542906,389423.0736475975,1764446.8313798655,1459.4591487308537,1765906.2905285961,2,4,0.9543010752688172,247.21432334986378,10800.0
q4_2_variable,9,30,3265855.511633333,1877471.6443833332,2184972.202867507,2184972.202867507,1695551.895159093,15528.965927629322,504949.2736360438,213552.84542744525,1663918.798955888,492711.4867455141,399096.30426386645,1359852.58316102,89267.63341560955,1449120.21657663,13,92,0.8493055555555555,238.20768745581958,10800.0
q4_2_variable,10,31,3234182.50155,1759048.9105166667,1990103.093686696,1990103.093686696,1764000.8040287192,55109.043392169864,281211.3330501459,186870.63526287093,1572178.2752537953,536824.0933290282,434827.51559651294,1178739.3585573612,333999.8270277569,1512739.1855851184,20,217,0.6370967741935484,204.66028454308196,10800.0
q4_2_variable,11,30,3123123.369616667,1335150.9616333335,2160537.6616128073,2160537.6616128073,2000794.333679966,83295.8009448984,243039.12887773942,109522.27672023672,1225628.6849130965,545492.2871553793,442192.6381789832,1333538.9051403573,504180.3392205603,1837719.244360918,21,384,0.42800925925925926,211.78589888810387,10417.904907637829
q4_2_variable,12,31,3490331.5867666667,1126294.6505333334,2778444.076438681,2778444.076438681,2513283.105940924,74310.0709755601,339471.0414733178,34944.34019306772,1091350.3103402657,600483.8823501645,486182.0528356419,1947369.8236707652,521665.0285301821,2469034.8522009477,23,337,0.5380824372759857,196.30778586078583,10651.118094294772
q4_3_variable,2,28,3035354.4650166663,1321474.7929499997,2426852.6662271805,2264836.2426425708,1913140.595302763,237.10284794057867,351932.7501877482,105432.17930227084,1216042.6136477292,493835.4943885559,400006.75045473035,1499383.3645072517,1403.0758060710693,1500786.4403133225,8,11,0.9032738095238095,157.4305092254691,10800.0
q4_3_variable,3,31,3240640.052583333,1714322.3861166665,2221742.531597456,2079973.7456743831,1810126.6389305193,399.37636899949456,270246.48311286344,179109.4061551994,1535212.9799614672,551050.3489929122,446350.782684259,1276316.7001227695,2130.021986230143,1278446.7221089995,6,23,0.821236559139785,149.8091541622217,10800.0
q4_3_variable,4,30,3162943.2953166664,1945213.6963166667,1707644.4125072905,1688564.7389212532,1529743.1801744155,2081.3587342726105,160902.91748111014,208027.60103355214,1737186.0952831146,547451.7282771092,443465.74813624576,986213.868648441,12129.295977346634,998343.1646257878,19,51,0.6574074074074074,143.90935035937204,10766.83529801414
q4_3_variable,5,31,3274848.2480000006,2088037.7830333333,1743916.960602613,1721848.126588581,1550051.405282156,16871.895163376885,188668.6164698021,261716.90759412077,1826320.8754392122,534179.9183662172,432655.8856448486,1010387.6693751637,105706.28392980463,1116093.9533049683,20,149,0.6120071684587813,183.13465402037633,10800.0
q4_3_variable,6,30,3456268.2932,1706275.1270166666,2283907.7534746756,2182580.145671651,1979431.2524010153,14270.074518133119,217418.9677887689,120882.04717198768,1585393.079844679,571347.5739247053,462791.5348790113,1479421.205685872,91446.86738689782,1570868.0730727697,21,199,0.5900462962962963,188.09533937027538,10800.0
q4_3_variable,7,31,3970920.4401166663,2026101.1805999998,2427310.6476206603,2401716.809597583,2196970.1942023365,15042.037134556185,219788.65252980302,142950.29206229743,1883150.8885377024,574740.2243335403,465539.5817101676,1795493.533686239,104325.77404495626,1899819.3077311954,17,189,0.5882616487455197,204.23611344524463,10800.0
q4_3_variable,8,31,3753611.7254499993,2169498.8611833337,2555664.1546559636,2390234.424628349,1961736.565524296,2.5608381289961244,428500.4199421821,284284.97356361046,1885213.8876197226,491256.4615474689,397917.7338534499,1730771.0742921177,21.318977423892733,1730792.3932695417,1,1,0.9576612903225806,196.9571694031255,10800.0
q4_3_variable,9,30,3265855.511633333,1877471.6443833332,2378553.071509212,2286626.801980252,1711142.5043835347,494.09652578670284,575978.3941225038,231913.12239600284,1645558.5219873304,478134.2880922731,387288.7733547413,1482620.4858904462,2489.4302608873654,1485109.9161513334,2,8,0.9699074074074074,232.48868042770724,10800.0
q4_3_variable,10,31,3234182.50155,1759048.9105166667,2180351.134855842,2063468.2027142,1768429.008642165,4479.2010174502175,299518.39508948533,186955.17635490515,1572093.7341617616,559685.4802838238,453345.23902989726,1292144.3025005087,24617.93866491283,1316762.2411654217,16,76,0.7235663082437276,168.99942559082078,10800.0
q4_3_variable,11,30,3123123.369616667,1335150.9616333335,2265435.9309854754,2234120.9723073146,2009544.7083558151,16517.74946454155,241094.01341604104,113339.36782928216,1221811.5938040512,571456.9381275168,463224.00558431714,1458598.244053511,97648.6785503512,1556246.9226038624,21,188,0.5087962962962963,175.6805336150812,10417.904776634947
q4_3_variable,12,31,3490331.5867666667,1126294.6505333334,2789739.707377078,2759122.9844239587,2517524.1610299065,30536.96031636111,272135.7837104138,34871.923438700396,1091422.7270946333,623186.365816946,504571.064459073,2015043.8940392574,202181.97018642034,2217225.864225678,23,268,0.47558243727598565,183.2208686625542,10651.117946249566
