variant,date,month,risk_mode,lp_solution_count,planning_simultaneous_flow_slots_total,planning_simultaneous_flow_slots_max_per_lp,planning_simultaneous_flow_max_kwh,execution_simultaneous_flow_slots,execution_simultaneous_flow_max_kwh,target_soc_mae_kwh,target_soc_rmse_kwh,target_soc_max_abs_kwh,initial_plan_to_effective_grid_mae_kwh_per_slot,initial_plan_to_effective_grid_rmse_kwh_per_slot,initial_plan_to_effective_grid_sum_kwh,final_contract_to_effective_grid_mae_kwh_per_slot,final_contract_to_effective_grid_rmse_kwh_per_slot,final_contract_to_effective_grid_sum_kwh,emergency_slots,emergency_soc_end_at_min_rate,max_balance_residual_kwh
q4_2_variable_unclustered,2025-11-28,11,unclustered,1,0,0,0.0,0,0.0,2227.5516151437614,3486.3605068567817,9503.151126720999,216.333988786461,366.0833130418973,-31152.094385250384,216.333988786461,366.0833130418973,-31152.094385250384,0,,2.2737367544323206e-13
q4_2_variable_unclustered,2025-11-29,11,unclustered,1,0,0,0.0,0,0.0,2208.9630601601057,3505.875289299728,9512.638411357648,212.36393333398038,358.43239368075797,-30580.406400093176,212.36393333398038,358.43239368075797,-30580.406400093176,0,,1.1368683772161603e-13
q4_2_variable_unclustered,2025-11-30,11,unclustered,1,0,0,0.0,0,0.0,1275.3988275783786,1873.433282605435,4132.896059300288,32.50492454286074,136.09838186099864,4680.709134171947,32.50492454286074,136.09838186099864,4680.709134171947,19,0.9473684210526315,0.0
q4_2_variable_unclustered,2025-12-01,12,unclustered,1,0,0,0.0,0,0.0,2085.6390989294932,2571.851572436566,4465.334450907461,68.03994647021464,190.93978544925045,9776.643779445387,68.03994647021464,190.93978544925045,9776.643779445387,29,0.896551724137931,0.0
q4_2_variable_unclustered,2025-12-02,12,unclustered,1,0,0,0.0,0,0.0,2253.3923584813,2795.959594798817,5240.851948396606,76.0669648879565,203.24956161688476,10953.642943865736,76.0669648879565,203.24956161688476,10953.642943865736,32,0.875,0.0
q4_2_variable_unclustered,2025-12-03,12,unclustered,1,0,0,0.0,0,0.0,2165.709279757682,2712.8264536047523,4873.000286381986,58.150532194365674,174.98240078246494,8373.676635988657,58.150532194365674,174.98240078246494,8373.676635988657,28,0.8928571428571429,0.0
q4_2_variable_unclustered,2025-12-04,12,unclustered,1,0,0,0.0,0,0.0,1585.545403388107,1922.8235072356883,3819.1482332820756,52.522111356073616,161.91852960903609,7274.182013896068,52.522111356073616,161.91852960903609,7274.182013896068,29,0.8620689655172413,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-05,12,unclustered,1,0,0,0.0,0,0.0,1910.7860277656225,2971.629361467673,8042.043648309504,211.8876886989871,367.10992644624054,-30511.827172654142,211.8876886989871,367.10992644624054,-30511.827172654142,0,,2.4868995751603507e-13
q4_2_variable_unclustered,2025-12-06,12,unclustered,1,0,0,0.0,0,0.0,1745.5001184550395,2805.368856936634,7261.812621717534,201.45836375118088,350.86622499756083,-29010.00438017005,201.45836375118088,350.86622499756083,-29010.00438017005,0,,2.2737367544323206e-13
q4_2_variable_unclustered,2025-12-07,12,unclustered,1,0,0,0.0,0,0.0,1784.9918179787533,2175.0190769769315,4130.291697897912,48.36816487191436,158.76115566398764,6965.015741555668,48.36816487191436,158.76115566398764,6965.015741555668,25,0.88,0.0
