variant,month,group,q20_threshold_actual_pv_kwh,days,emergency_day_rate,safe_net_coverage,mean_actual_pv_kwh,mean_cash_cost_yuan,mean_contract_cost_yuan,mean_emergency_cost_yuan,mean_emergency_kwh,mean_unused_contract_kwh,mean_pv_curtailed_kwh,mean_actual_effective_grid_kwh,mean_pinball_mean_kw
q2_fixed,7,low_pv_q20,62680.30703333332,7,0.42857142857142855,0.6299603174603174,61871.682364285705,64405.79161420917,51471.47085721568,12934.320756993493,2225.187599020138,11830.972553565036,4315.936556793368,72789.46689747403,240.8773629560912
q2_fixed,7,other,62680.30703333332,24,0.5833333333333334,0.7465277777777778,66374.97516875,55257.082063922986,52737.52036068147,2519.561703241503,415.31606471416336,13667.457838155366,5417.242825914043,70841.20237557522,206.76986279528717
q2_fixed,8,low_pv_q20,67167.14008333333,7,0.14285714285714285,0.8918650793650794,65349.30474047618,52117.80520900319,51850.021180437,267.7840285661985,53.53745255355953,15243.803653780556,7219.5972340681765,66341.11541017333,207.66894108524556
q2_fixed,8,other,67167.14008333333,24,0.041666666666666664,0.9725115740740741,71335.572,53451.82531148329,53451.09857397352,0.7267375097840872,0.10788057741914751,20830.2647137853,11338.065339939996,63740.977913591196,258.7483931770441
q2_fixed,9,low_pv_q20,59161.75246999999,6,0.6666666666666666,0.7152777777777778,57409.67323055555,52155.54890324528,42958.38030240116,9197.16860084413,1548.8736729953969,12230.812006028273,6049.85611926344,57429.84148339305,254.62915549898722
q2_fixed,9,other,59161.75246999999,24,0.25,0.8828125,63875.56687499999,47570.068154462955,46962.615249930364,607.4529045325947,118.82374099485479,17766.53623465408,7391.461636053188,56189.668616392904,234.1023204450277
q2_fixed,10,low_pv_q20,52644.35426666667,7,0.7142857142857143,0.43452380952380953,50860.53463333334,61047.969202371394,38921.20626442912,22126.76293794228,3609.126427246419,6227.910239156727,4330.3868726079645,61262.254343837136,230.12888892628536
q2_fixed,10,other,52644.35426666667,24,0.625,0.6961805555555556,58459.38200347222,47414.36895440734,39831.012134783756,7583.35681962359,1245.1755161574335,9905.37566732186,6518.812006351865,55608.60625151134,197.23194159798095
q2_fixed,11,low_pv_q20,42166.810869999994,6,0.6666666666666666,0.49537037037037035,40028.048225,59868.33276834066,48094.65500675241,11773.67776158826,1803.9516135412894,10325.884373194607,3039.964314540466,69043.18218018826,189.92223934671196
q2_fixed,11,other,42166.810869999994,24,0.7083333333333334,0.41116898148148145,45624.27801180555,61881.09913420256,43330.22454431333,18550.874589889227,3034.5272039324736,7567.125209068335,3828.614838186164,66180.50227139535,217.25181377345186
q2_fixed,12,low_pv_q20,35262.685216666665,7,0.42857142857142855,0.746031746031746,35075.968023809524,62018.685346731836,57498.01793038675,4520.667416345083,805.789290300209,23177.39042012806,2271.0278665783862,68428.66967919166,238.294230114448
q2_fixed,12,other,35262.685216666665,24,0.8333333333333334,0.4774305555555556,36698.453098611106,73168.56982077572,56773.9868555854,16394.58296519032,2854.6444992262054,7459.8573839630335,782.3284108288113,85008.8881244968,184.0617396201344
q3_fixed,2,low_pv_q20,42771.98938,6,0.0,0.9340277777777778,41652.22804722222,58635.74454589157,58635.74454589157,0.0,0.0,11180.472214796057,1552.124610510362,78041.97020510983,124.5130125263825
q3_fixed,2,other,42771.98938,22,0.36363636363636365,0.8948863636363636,48707.33748484848,50801.785425850045,50737.9166314207,63.86879442933582,10.86320758134807,12833.337892764865,4412.28772218334,65808.22585999378,166.40800832522007
q3_fixed,3,low_pv_q20,50758.07591666666,7,0.5714285714285714,0.8452380952380952,48617.05687380951,48510.33606515668,48251.224066338946,259.1119988177365,47.82344043209081,10626.550224452338,4742.515580971835,64380.310462395704,159.23011259232175
q3_fixed,3,other,50758.07591666666,24,0.08333333333333333,0.8142361111111112,57250.1245,41163.445675113406,41146.330175298914,17.11549981449232,3.11196948347904,8193.486276375334,6082.630135304237,56648.87767687369,147.06137462010918
q3_fixed,4,low_pv_q20,62120.41966,6,0.6666666666666666,0.6712962962962963,59557.947875000005,38479.23162640943,38273.69613516797,205.53549124145846,32.60179888956933,3991.942447962392,3781.7973854725424,58105.93346757122,102.14053520703364
q3_fixed,4,other,62120.41966,24,0.625,0.6539351851851852,66161.0837111111,34330.001135210616,33868.20451113396,461.7966240766479,76.81496457411976,5769.560971914204,7695.787623361656,49147.167780881406,154.35155414745665
q3_fixed,5,low_pv_q20,65536.15706666667,7,0.5714285714285714,0.6359126984126984,64009.37850952381,38622.95632231916,34862.85532261995,3760.1009996992,580.9784669314347,7933.446174242178,9455.809602240497,49264.660759361745,211.30470859703647
q3_fixed,5,other,65536.15706666667,24,0.6666666666666666,0.6050347222222222,68332.17222777777,37734.36240162602,34340.95607094725,3393.406330678777,535.7323744380343,5625.152665919529,8088.40334290631,49989.85964873244,174.91838810218374
q3_fixed,6,low_pv_q20,54648.51869999999,6,0.5,0.7453703703703703,52189.661672222224,48827.165031308454,47875.403805591806,951.7612257166452,152.0605828437401,12083.316797108035,5604.594791989762,61899.92393023577,200.56231599597047
q3_fixed,6,other,54648.51869999999,24,0.75,0.5512152777777778,58047.381540972216,50733.52255926774,47246.44637471064,3487.0761845571087,560.5136461364491,6067.329798386893,3564.113321288687,66819.45733231211,184.9785952138517
q3_fixed,7,low_pv_q20,62680.30703333332,7,0.5714285714285714,0.5595238095238095,61871.682364285705,59142.434925689966,53934.14200698118,5208.292918708784,883.263194332426,8421.63255711,4229.989306733945,72660.37797654593,253.56890226354565
q3_fixed,7,other,62680.30703333332,24,0.5833333333333334,0.5966435185185185,66374.97516875,52906.49664212589,50622.148270157086,2284.348371968797,394.5844101700515,6825.094087310921,4630.842971950737,70099.3272742055,189.84738337324015
q3_fixed,8,low_pv_q20,67167.14008333333,7,0.0,0.9732142857142857,65349.30474047618,54935.393536864336,54935.393536864336,0.0,0.0,15205.006640339814,7277.56960270813,66286.28976462183,198.88241328883078
q3_fixed,8,other,67167.14008333333,24,0.041666666666666664,0.953125,71335.572,50601.36882302527,50600.650027772936,0.7187952523325997,0.10670158870817185,13420.408912095134,9708.020082221867,62213.17860945218,196.3956399364614
q3_fixed,9,low_pv_q20,59161.75246999999,6,0.16666666666666666,0.9270833333333334,57409.67323055555,49677.15538389224,49275.07864259812,402.0767412941191,81.09709125771282,17205.888791243935,6711.014375506985,58068.79519840568,212.3522182964158
q3_fixed,9,other,59161.75246999999,24,0.041666666666666664,0.9806134259259259,63875.56687499999,50613.02486396718,50611.600318695244,1.4245452719312743,0.3131212818840036,19683.61845790585,7968.684962002597,56666.095454953094,237.5227959605301
q3_fixed,10,low_pv_q20,52644.35426666667,7,0.7142857142857143,0.5634920634920635,50860.53463333334,44827.137698703285,43550.115243226894,1277.0224554763904,214.9878168257688,6735.872179611613,4439.176113673516,61755.59871533913,151.8476814459324
q3_fixed,10,other,52644.35426666667,24,0.4583333333333333,0.7702546296296297,58459.38200347222,43951.21571407379,43336.03546066101,615.1802534127751,118.98276630369544,10522.778954304003,6496.004613075272,55642.6692277507,174.00201763307982
q3_fixed,11,low_pv_q20,42166.810869999994,6,0.6666666666666666,0.5833333333333334,40028.048225,53862.51381807356,51320.04759776621,2542.466220307371,401.90549188084225,10370.74978919911,3043.4689152636456,69125.09653632037,170.72961574405528
q3_fixed,11,other,42166.810869999994,24,0.7083333333333334,0.49016203703703703,45624.27801180555,50755.75206800646,47364.26173069241,3391.4903373140514,551.2696761043836,7494.012792707817,3987.3873234131515,66498.5901761074,176.9182630828377
q3_fixed,12,low_pv_q20,35262.685216666665,7,0.42857142857142855,0.7162698412698413,35075.968023809524,59417.71131541274,57543.191510545206,1874.519804867536,342.5119462716722,19783.135749153415,2217.722349359721,68412.14980291194,229.73786567563266
q3_fixed,12,other,35262.685216666665,24,0.8333333333333334,0.4053819444444444,36698.453098611106,65116.11698670989,58841.798693672295,6274.3182930375815,1174.0529359263573,5583.4069786070295,782.4927702606487,85154.44088735881,169.65341120040634
q4_2_variable,2,low_pv_q20,42771.98938,6,0.0,0.9571759259259259,41652.22804722222,73087.45603467729,73087.45603467729,0.0,0.0,25433.580533981807,1826.6170416666666,77843.60658109502,215.99838022896222
q4_2_variable,2,other,42771.98938,22,0.22727272727272727,0.9409722222222222,48707.33748484848,60832.965773754004,60755.10843121465,77.85734253935487,12.443296218540546,28407.45454933452,5337.148581521958,66178.22150594833,269.1905903155192
q4_2_variable,3,low_pv_q20,50758.07591666666,7,0.5714285714285714,0.8541666666666666,48617.05687380951,51042.76864280685,50709.810381082716,332.958261724127,59.92339686874419,18174.87323877984,5050.33586998018,64461.681670140395,200.3877874586426
q4_2_variable,3,other,50758.07591666666,24,0.08333333333333333,0.8955439814814815,57250.1245,42312.64608862336,42288.739448870045,23.90663975332002,4.301641626955199,14601.010039237188,8085.134178779187,58407.634642011864,188.5717047703512
q4_2_variable,4,low_pv_q20,62120.41966,6,0.5,0.6377314814814815,59557.947875000005,42731.02985569101,36761.105490702415,5969.92436498859,946.8055849954102,5534.178510814715,4162.942527681443,58287.85820150116,170.85741502406245
q4_2_variable,4,other,62120.41966,24,0.125,0.7662037037037037,66161.0837111111,32384.875911328647,32276.312463765968,108.56344756268042,16.50232346286961,7654.13154915634,9001.686076354921,50307.154968349416,166.9408781424438
q4_2_variable,5,low_pv_q20,65536.15706666667,7,0.5714285714285714,0.5793650793650794,64009.37850952381,48201.11476382595,29230.03671222095,18971.078051605004,2932.8625703926177,6268.088341678706,8650.140997086883,48536.69206929026,250.09318047143483
q4_2_variable,5,other,65536.15706666667,24,0.7083333333333334,0.5830439814814815,68332.17222777777,40985.224651803364,30544.760474265753,10440.464177537613,1618.147587804164,4774.589381560786,7544.575585242281,49579.53982785732,203.84662253544403
q4_2_variable,6,low_pv_q20,54648.51869999999,6,0.5,0.5972222222222222,52189.661672222224,71649.14481527159,38429.41076710294,33219.73404816865,5225.0016770775865,6647.099760435441,5136.392800857339,61010.72987239441,294.06585463438466
q4_2_variable,6,other,54648.51869999999,24,0.75,0.4513888888888889,58047.381540972216,82288.09945972794,42447.75683152301,39840.34262820491,6242.2408068668365,6364.760552422736,3596.038756964291,66275.24313095181,339.92754544501446
q4_2_variable,7,low_pv_q20,62680.30703333332,7,0.42857142857142855,0.6299603174603174,61871.682364285705,72489.84611359822,57667.07264125192,14822.77347234629,2099.616735661121,11598.100951128781,4392.851012578541,72931.72643233942,240.8773629560912
q4_2_variable,7,other,62680.30703333332,24,0.5833333333333334,0.7465277777777778,66374.97516875,61386.9151929199,58794.87834771444,2592.0368452054477,342.7090099139701,13386.036647762774,5607.7046066795965,71120.17271733219,206.76986279528717
q4_2_variable,8,low_pv_q20,67167.14008333333,7,0.14285714285714285,0.8918650793650794,65349.30474047618,56531.8445756493,56326.42963145466,205.41494419464402,39.93369656317153,15328.27804017164,7155.974581627189,66440.91886233572,207.66894108524556
q4_2_variable,8,other,67167.14008333333,24,0.041666666666666664,0.9725115740740741,71335.572,57090.974104127126,57090.075998320106,0.8981058070144029,0.10788057741914751,20723.00579299539,11449.42058046864,63968.77088794941,258.7483931770441
q4_2_variable,9,low_pv_q20,59161.75246999999,6,0.6666666666666666,0.7152777777777778,57409.67323055555,51120.47631079595,41917.229644403946,9203.246666392008,1538.1276193360402,12223.882074509414,6049.849740089165,57446.521631508505,254.62915549898722
q4_2_variable,9,other,59161.75246999999,24,0.375,0.8828125,63875.56687499999,47599.889946327254,46181.21688727485,1418.673059052396,262.5083421505451,17983.58254954114,7385.572791121261,56286.365223751745,234.1023204450277
q4_2_variable,10,low_pv_q20,52644.35426666667,7,0.7142857142857143,0.43452380952380953,50860.53463333334,60075.7207980628,38013.79863563324,22061.922162429546,3603.806114891539,6213.947582508171,4330.3868726079645,61336.049763807976,230.12888892628536
