date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots,sigma_factor,achieved_daily_sigma_ratio
2025-05-02,greedy,error_scaled_frozen_contract_and_soc,18930.76801023395,17244.411845841958,1686.3561643919961,32626.39090787427,27116.372255493316,5510.018652380953,2942.4570009287295,343.3079698452361,2,1,2459.0265976190467,17372.29948920398,20989.367497700783,16608.754240137638,10309.860375,10746.119745,1200.0,10800.0,0.0006769000028725713,2.2737367544323206e-13,0,0.5,0.5
2025-05-02,mpc,error_scaled_frozen_contract_and_soc,26255.44826414055,17244.411845841958,9011.03641829859,32626.39090787427,27116.372255493316,5510.018652380953,2942.4570009287295,1729.822014897627,46,11,2666.3860645697587,18896.620135714285,19311.24562352548,15275.79843437096,10309.860375,10716.872064649644,1200.0,10716.872064649644,1.025145399995381,2.2737367544323206e-13,0,0.5,0.5
2025-05-03,greedy,error_scaled_frozen_contract_and_soc,18352.2565842244,17579.30593216539,772.9506520590106,33082.14277313742,27249.201068375514,5832.9417047619045,3172.1409154365074,159.15426222618657,2,1,2964.3135392857134,19192.005481077955,20715.272609398235,16509.01413011258,10499.603685,10800.0,1200.0,10800.0,0.000338700003339909,2.2737367544323206e-13,0,0.5,0.5
2025-05-03,mpc,error_scaled_frozen_contract_and_soc,22413.941779240988,17579.30593216539,4834.635847075593,33082.14277313742,27249.201068375514,5832.9417047619045,3172.1409154365074,859.3097059523805,38,8,2896.6057833181785,20118.742282498344,19987.901611564426,15940.516734005432,10499.603685,10777.029875401953,1235.2706336432066,10777.029875401953,1.0002730999985943,2.2737367544323206e-13,0,0.5,0.5
2025-05-04,greedy,error_scaled_frozen_contract_and_soc,37956.71266692897,37147.01007322366,809.7025937053075,60539.38468979237,54476.888892173316,6062.495797619047,3254.2240343076983,135.23561870238052,6,1,3199.513392937801,2810.0955201868346,17961.294942173543,14503.339514660569,10697.165265,10747.509030000001,1200.0,10800.0,0.0006965999928070232,1.1368683772161603e-13,0,0.5,0.5
2025-05-04,mpc,error_scaled_frozen_contract_and_soc,41008.85043786146,37147.01007322366,3861.8403646378006,60539.38468979237,54476.888892173316,6062.495797619047,3254.2240343076983,624.7556749284206,29,10,2933.411467694868,3534.620324258691,18146.68115501128,14657.628550101195,10697.165265,10742.924359953271,1200.0,10800.0,1.0809729999891715,2.2737367544323206e-13,0,0.5,0.5
2025-05-05,greedy,error_scaled_frozen_contract_and_soc,38184.76031736082,37422.486460827495,762.2738565333267,61295.95152624548,55030.57135243596,6265.3801738095235,3334.7771867550796,109.27090833333239,1,1,2748.9955952968844,1589.514310714285,19552.23053293749,15581.606728179368,10515.888885,10800.0,1200.0,10800.0,0.0005936999950790778,1.1368683772161603e-13,0,0.5,0.49999999999999994
2025-05-05,mpc,error_scaled_frozen_contract_and_soc,44774.937808710216,37422.486460827495,7352.451347882721,61295.95152624548,55030.57135243596,6265.3801738095235,3334.7771867550796,1403.7241478743122,48,10,3012.612019047584,2972.740308727225,17923.4994087929,14305.264786257436,10515.888885,10752.299701516462,1200.0,10800.0,1.0970842000097036,2.2737367544323206e-13,0,0.5,0.49999999999999994
2025-05-06,greedy,error_scaled_frozen_contract_and_soc,37341.47292905512,37341.47292905512,0.0,60672.03433855496,54081.88122903115,6590.153109523808,3351.258947767302,0.0,0,0,2509.1729858906483,2802.4215756025906,19108.309212981472,15268.66607401499,10567.706235,10800.0,1280.408037791007,10800.0,0.00042749999556690454,2.2737367544323206e-13,0,0.5,0.5
2025-05-06,mpc,error_scaled_frozen_contract_and_soc,42423.64093068786,37341.47292905512,5082.168001632744,60672.03433855496,54081.88122903115,6590.153109523808,3351.258947767302,909.8660630952393,40,10,3283.114282741285,3237.9285708668413,17918.367424438013,14378.306514491182,10567.706235,10718.34078978179,1372.9096141170662,10800.0,1.0683034999965457,2.2737367544323206e-13,0,0.5,0.5
2025-05-07,greedy,error_scaled_frozen_contract_and_soc,38111.65103005844,38111.65103005844,0.0,62069.38658636241,55045.164767314796,7024.221819047619,3290.511281549404,0.0,0,0,2565.955924666472,2498.3091588138323,19263.38285188575,15212.460583527458,10365.689415,10800.0,1230.5398009523851,10800.0,0.00043739999819081277,2.2737367544323206e-13,0,0.5,0.5
2025-05-07,mpc,error_scaled_frozen_contract_and_soc,43944.50703157151,38111.65103005844,5832.856001513073,62069.38658636241,55045.164767314796,7024.221819047619,3290.511281549404,954.762326173098,40,11,3055.047300578543,3207.6083292106673,18127.85739486256,14320.563346640076,10365.689415,10769.024018554,1200.0,10800.0,1.013002800013055,2.2737367544323206e-13,0,0.5,0.5
2025-05-08,greedy,error_scaled_frozen_contract_and_soc,41409.27388036388,41409.27388036388,0.0,65315.703019545,57988.148948116424,7327.554071428571,3296.268201040039,0.0,0,0,4943.115100176372,1836.7813743239294,18065.76510211495,14442.460989213114,10587.990285,10800.0,1728.6694404761934,10800.0,0.0005946000019321218,2.2737367544323206e-13,0,0.5,0.49999999999999994
2025-05-08,mpc,error_scaled_frozen_contract_and_soc,42806.795684278186,41409.27388036388,1397.5218039143026,65315.703019545,57988.148948116424,7327.554071428571,3296.268201040039,238.6887104285742,12,7,4111.872571678418,2883.6000357142852,18187.412804936837,14540.996114498827,10587.990285,10799.999460000012,1200.0,10800.0,1.0829951000050642,2.2737367544323206e-13,0,0.5,0.49999999999999994
