date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots,sigma_factor,achieved_daily_sigma_ratio
2025-08-24,mpc,error_scaled_frozen_contract_and_soc,60297.20145115245,50021.54407114233,10275.657380010129,76914.22550328927,69918.34768662261,6995.877816666667,3125.440446739204,2129.1375059523834,45,21,6535.739708515735,6902.599495792929,17207.50923322085,14129.714897335476,10800.0,10587.075090637129,1200.0,10800.0,1.0342541999998502,2.273736754432321e-13,0,1.5,1.5
2025-08-25,greedy,error_scaled_frozen_contract_and_soc,59215.77302740894,50320.34409351288,8895.428933896063,77514.33939319411,70497.65883128936,7016.680561904762,3126.386767476705,1293.0701025595267,4,2,2203.496779732507,0.0,19737.129977805493,15987.075282022444,10800.0,10800.0,1200.0,10800.0,0.0004006000090157,2.273736754432321e-13,0,1.5,1.4999999999999998
2025-08-25,mpc,error_scaled_frozen_contract_and_soc,77314.53925293649,50320.34409351288,26994.19515942361,77514.33939319411,70497.65883128936,7016.680561904762,3126.386767476705,5183.239048557137,44,14,5059.074757331141,1866.2693166666656,15651.820666873526,12733.444319358166,10800.0,10738.367134232656,1200.0,10800.0,1.031175299998722,2.273736754432321e-13,0,1.5,1.4999999999999998
2025-08-26,greedy,error_scaled_frozen_contract_and_soc,51128.61243694335,50823.7418074499,304.8706294934553,78395.72887084603,71182.08431846507,7213.644552380952,3153.9780252530145,43.94898809523852,2,2,7579.086748799804,2602.4496458357057,19153.119943714555,15514.027154408794,10800.0,10800.0,1615.231586309527,10800.0,0.0004870999982813,2.273736754432321e-13,0,1.5,1.5
2025-08-26,mpc,error_scaled_frozen_contract_and_soc,60580.92630995456,50823.7418074499,9757.18450250465,78395.72887084603,71182.08431846507,7213.644552380952,3153.9780252530145,1921.3712784296536,33,15,7611.947549423186,4760.38301664648,17590.608915137545,14264.88800693152,10800.0,10781.672460366548,1200.0,10800.0,1.1700676000036765,2.273736754432321e-13,0,1.5,1.5
2025-08-27,greedy,error_scaled_frozen_contract_and_soc,51082.57112580301,50956.20954830301,126.36157749999953,78298.74146327871,71213.21422042156,7085.527242857143,3123.0229000367444,18.767499999999927,1,1,5018.602982111443,1170.7189953870857,20687.09359683808,16756.545813438843,10800.0,10800.0,1709.3794452645516,10800.0,0.0003942000039387,2.273736754432321e-13,0,1.5,1.4999999999999998
2025-08-27,mpc,error_scaled_frozen_contract_and_soc,64165.7826488837,50956.20954830301,13209.573100580685,78298.74146327871,71213.21422042156,7085.527242857143,3123.0229000367444,2575.4678659641177,45,20,5921.44717295527,3376.7488577949,17810.278900729296,14431.904804617585,10800.0,10793.801227747945,1200.0,10800.0,0.9697165000106908,2.273736754432321e-13,0,1.5,1.4999999999999998
2025-08-28,greedy,error_scaled_frozen_contract_and_soc,58422.95817253996,50615.12671385595,7807.831458684019,77703.46177635944,70935.42298350229,6768.038792857143,3137.241299169166,1277.3172774761874,7,4,2473.9920487654326,0.0,20447.68676227421,16562.626277442112,10800.0,10800.0,1200.0,10800.0,0.0004148000007262,2.273736754432321e-13,0,1.5,1.5
2025-08-28,mpc,error_scaled_frozen_contract_and_soc,67501.13500459987,50615.12671385595,16886.00829074393,77703.46177635944,70935.42298350229,6768.038792857143,3137.241299169166,3610.674662763752,50,14,5209.969543380409,170.86633619186932,17949.950860038793,14638.376820725976,10800.0,10690.09263989494,1200.0,10800.0,1.0671519000025,2.273736754432321e-13,0,1.5,1.5
2025-08-29,greedy,error_scaled_frozen_contract_and_soc,29778.04504466061,29778.04504466061,0.0,48532.99436139666,41716.10264711095,6816.891714285714,3376.771525540396,0.0,0,0,5725.585301396234,16809.693729604936,20300.29698328454,16443.24055646048,10800.0,10800.0,2098.084304858728,10800.0,0.0003677000058814,1.1368683772161605e-13,0,1.5,1.5
