date,method,comparison,cash_cost_yuan,contract_cost_yuan,emergency_cost_yuan,contract_kwh,base_contract_kwh,risk_reserve_kwh,expected_emergency_cost_yuan,emergency_kwh,emergency_slots,emergency_events,unused_contract_kwh,pv_curtailed_kwh,charge_kwh,discharge_kwh,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,runtime_seconds,max_balance_residual_kwh,simultaneous_flow_slots
2025-08-07,greedy,formal_continuous_closed_loop,50168.053381269994,50110.97369709857,57.07968417142922,77269.42425605941,70713.72454653561,6555.699709523808,3082.870094203095,8.448114285714382,1,1,6108.793202469378,4278.980189770476,18432.177516343574,14930.063788238294,10800.0,10800.0,1712.336333333334,10800.0,0.0005001000099582598,1.1368683772161603e-13,0
2025-08-08,greedy,formal_continuous_closed_loop,28578.249218896206,28578.249218896206,0.0,47437.21148496075,40944.791101627416,6492.420383333332,3096.125355646705,0.0,0,0,5258.698381510877,22671.000808035034,19643.90023902552,15911.559193610676,10800.0,10800.0,1930.5630422486784,10800.0,0.0002786999975796789,1.1368683772161603e-13,0
2025-08-09,greedy,formal_continuous_closed_loop,27981.446590419655,27981.446590419655,0.0,46472.913776801186,40074.54465537262,6398.369121428572,3129.9384278748003,0.0,0,0,4259.618819400344,19482.099760307174,20048.769458387716,16239.503261294047,10800.0,10800.0,1928.9930598412675,10800.0,0.000712499997462146,1.1368683772161603e-13,0
2025-08-10,greedy,formal_continuous_closed_loop,49508.89080980753,49446.2231639742,62.66764583333308,75839.71794379086,69256.31419140991,6583.403752380953,3076.1007221633713,9.291666666666629,1,1,5326.780991753393,1934.1180210625978,17281.534461271316,13998.042913629772,10800.0,10800.0,1839.5531296296308,10800.0,0.000489799989736639,1.1368683772161603e-13,0
2025-08-11,greedy,formal_continuous_closed_loop,50197.03321342287,49447.823754574056,749.2094588488078,76529.98884902339,70054.75391807102,6475.23493095238,3001.927387038372,111.16886666666642,5,2,5314.70015102881,3194.891552763085,18791.119360867553,15220.806682302724,10800.0,10800.0,1348.0919444444442,10800.0,0.00026200000138487667,1.1368683772161603e-13,0
2025-08-12,greedy,formal_continuous_closed_loop,50786.13895839791,48239.45487587227,2546.684082525638,74577.84045015514,68321.93480015514,6255.905649999999,3144.4367844371427,378.007698238098,6,2,2515.000669370956,1254.2849661669627,18031.6782255543,14605.659362698978,10800.0,10800.0,1200.0,10800.0,0.00024310000299010426,2.2737367544323206e-13,0
2025-08-13,greedy,formal_continuous_closed_loop,49673.3659529191,48963.62391303934,709.7420398797609,75541.64676359427,68922.91336359427,6618.7334,3095.346068816665,105.18362619047605,4,3,4946.126641957909,1155.9895727099295,18019.656447983776,14595.921722866862,10800.0,10800.0,1526.2516375661378,10800.0,0.0006050000083632767,1.1368683772161603e-13,0
2025-08-14,greedy,formal_continuous_closed_loop,49538.50412110641,48943.301302675456,595.202818430953,75705.20722500893,68866.99717738989,6838.210047619046,3070.4524939883327,86.5920380952382,3,2,4092.839091387425,1964.2788098471437,20044.159887032954,16235.769508496694,10800.0,10800.0,1437.3516084656112,10800.0,0.00023940000392030925,2.2737367544323206e-13,0
2025-08-15,greedy,formal_continuous_closed_loop,28157.88352274271,28157.88352274271,0.0,46569.299163774434,39852.83237091729,6716.4667928571425,3112.0911004648406,0.0,0,0,4623.836905173428,20874.01657982147,20587.99366024319,16676.274864796993,10800.0,10800.0,1679.2415561250377,10800.0,0.0007583999977214262,1.1368683772161603e-13,0
2025-08-16,greedy,formal_continuous_closed_loop,28249.718795001238,28249.718795001238,0.0,46815.9539790897,40108.24141956589,6707.7125595238085,3059.729410529285,0.0,0,0,4829.608257231041,21142.66255575049,20602.119997060552,16687.717197619044,10800.0,10800.0,1368.2134362433862,10800.0,0.0008387999987462536,1.1368683772161603e-13,0
2025-08-17,greedy,formal_continuous_closed_loop,49679.395996411775,49123.49589826416,555.9000981476171,75642.71361485083,68984.688655327,6658.02495952381,3029.821726945633,82.51047857142828,5,1,5065.504519635511,3973.211325279248,18532.182272846432,15011.067641005617,10800.0,10800.0,1519.7111366402132,10800.0,0.000251600009505637,1.1368683772161603e-13,0
2025-08-18,greedy,formal_continuous_closed_loop,49554.51641284952,48748.472272509054,806.0441403404758,75220.12623825522,68827.58285254093,6392.543385714287,3031.3435946023396,118.83406904761898,4,3,4792.147178336277,2547.669395091123,18973.832195835657,15368.804078626885,10800.0,10800.0,1692.0994523809525,10800.0,0.0007795999990776181,1.1368683772161603e-13,0
2025-08-19,greedy,formal_continuous_closed_loop,49748.78354658385,49204.25756202195,544.5259845619042,75604.08062057942,69116.6483467699,6487.432273809525,3011.550582196387,80.68586666666658,3,2,4598.822511235588,3384.5071572604375,17809.351414474055,14425.574645723987,10800.0,10800.0,1692.4108941798945,10800.0,0.0007968999998411164,1.1368683772161603e-13,0
2025-08-20,greedy,formal_continuous_closed_loop,56827.609682014096,48876.52866869521,7951.081013318887,75159.05805018978,68689.91450733264,6469.143542857144,3001.8991596350775,1153.8482621428511,6,2,1832.3511757201643,0.0,20157.179315504283,16327.31524555847,10800.0,10800.0,1200.0,10800.0,0.0008572000078856945,1.1368683772161603e-13,0
2025-08-21,greedy,formal_continuous_closed_loop,49505.864973275005,49505.864973275005,0.0,75828.45649821547,69065.9324625012,6762.524035714287,3174.501260490474,0.0,0,0,4819.818724838329,1811.4259389182798,17646.28079539755,14293.487444272012,10800.0,10800.0,1650.6955339153433,10800.0,0.0007565000123577192,2.2737367544323206e-13,0
2025-08-22,greedy,formal_continuous_closed_loop,28403.09661765405,28403.09661765405,0.0,47117.074626850066,40388.45541494531,6728.619211904762,3229.108584894125,0.0,0,0,3855.345974661971,18117.835168686157,20596.442544747108,16683.118461245165,10800.0,10800.0,1310.969937460322,10800.0,0.0006508000078611076,1.1368683772161603e-13,0
2025-08-23,greedy,formal_continuous_closed_loop,28716.863460037686,28716.863460037686,0.0,47431.83370451577,40584.09430689672,6847.739397619047,3203.658337546626,0.0,0,0,4340.673470576134,16817.547535968908,19703.19235774067,15959.585809769946,10800.0,10800.0,1893.7103876190506,10800.0,0.0002435000060359016,1.1368683772161603e-13,0
2025-08-24,greedy,formal_continuous_closed_loop,50027.11663114233,50021.54407114233,5.572559999998764,76914.22550328927,69918.34768662261,6995.877816666667,3125.440446739204,0.8266666666664833,1,1,5258.1130869782555,4382.703466666668,18634.979647251006,15094.33351427332,10800.0,10800.0,1915.6617577777781,10800.0,0.00030050000350456685,2.2737367544323206e-13,0
2025-08-25,greedy,formal_continuous_closed_loop,50546.89255056181,50320.344093512875,226.54845704893285,77514.33939319411,70497.65883128936,7016.680561904762,3126.3867674767052,33.29787573809244,2,2,2594.218795855375,391.9621811875388,19938.785659066518,16150.416383843878,10800.0,10800.0,1200.0,10800.0,0.0007308000058401376,2.2737367544323206e-13,0
2025-08-26,greedy,formal_continuous_closed_loop,50921.4515002499,50823.7418074499,97.70969280000043,78395.72887084603,71182.08431846507,7213.644552380952,3153.9780252530145,14.006550000000061,1,1,6847.638804320983,2495.178783333334,18621.576051886223,15083.47660202784,10800.0,10800.0,1826.3180861640215,10800.0,0.0006289000011747703,2.2737367544323206e-13,0
2025-08-27,greedy,formal_continuous_closed_loop,50957.57859163635,50956.20954830301,1.3690433333336192,78298.74146327871,71213.21422042156,7085.527242857143,3123.0229000367444,0.20333333333337578,1,1,5076.595371382459,1575.0247218274123,19648.29387755531,15915.118040819796,10800.0,10800.0,1675.8769550264556,10800.0,0.0005955999949947,2.2737367544323206e-13,0
2025-08-28,greedy,formal_continuous_closed_loop,51222.19544420118,50615.12671385595,607.0687303452391,77703.46177635944,70935.42298350229,6768.038792857143,3137.241299169166,90.07578571428587,3,2,3301.762278218702,0.0,19599.896318535226,15875.916018013539,10800.0,10800.0,1762.4538015873022,10800.0,0.0007696999964537099,2.2737367544323206e-13,0
2025-08-29,greedy,formal_continuous_closed_loop,29778.04504466061,29778.04504466061,0.0,48532.99436139666,41716.10264711095,6816.891714285714,3376.771525540396,0.0,0,0,5301.603666402118,16862.10412044856,20074.032760768372,16259.966536222386,10800.0,10800.0,1987.2155764550275,10800.0,0.0006815000087954104,1.1368683772161603e-13,0
2025-08-30,greedy,formal_continuous_closed_loop,29471.328383162203,29471.328383162203,0.0,48244.5326239369,41372.97912631785,6871.55349761905,3399.764352042339,0.0,0,0,4622.780149882428,21455.63479548353,19228.409711776898,15575.011866539291,10800.0,10800.0,1706.9370760317486,10800.0,0.00023750000400468707,1.1368683772161603e-13,0
2025-08-31,greedy,formal_continuous_closed_loop,51526.472321837784,51219.45504318064,307.0172786571432,78686.83231886855,71889.05537363046,6797.776945238096,3419.098695312063,45.53496666666672,3,2,6150.107947046361,2372.7212531593996,18752.184221032247,15189.269219036121,10800.0,10800.0,1462.9864470899488,10800.0,0.0007333000103244558,1.4921397450962104e-13,0
2025-09-01,greedy,formal_continuous_closed_loop,51194.381235176465,51194.381235176465,0.0,78856.28735327742,71924.80447232505,6931.482880952382,3341.564184576348,0.0,0,0,17710.133911787183,4782.667757025277,14680.795532271788,11891.444381140143,10800.0,10800.0,3253.4017460317455,10800.0,0.00039939999987836927,1.1368683772161603e-13,0
2025-09-02,greedy,formal_continuous_closed_loop,50770.06442770387,50770.06442770387,0.0,78078.62703016293,71167.21006349626,6911.416966666668,3342.0300248313474,0.0,0,0,16936.60188435791,3883.093078575655,16848.295880154503,13647.119662925146,10800.0,10800.0,3043.0541428571414,10800.0,0.00023629999486729503,1.1368683772161603e-13,0
2025-09-03,greedy,formal_continuous_closed_loop,50461.11747770656,50461.11747770656,0.0,77658.07619948083,70802.09658757606,6855.979611904763,3345.6497491985697,0.0,0,0,15116.056279838143,4137.283288151276,15036.944113112688,12179.924731621275,10800.0,10800.0,3236.2333439153435,10800.0,0.0002460000105202198,1.1368683772161603e-13,0
